True,apply_link,company,date_added,id,location,title,yoe,link
0,https://jobs.spectrum.com/job/greenwood-village/2024-summer-intern-data-developer/4673/54742370256,Spectrum,2023-10-06T12:00:00.000Z,y5beacr8FIgDtjq1VIXX,United States,Data Developer ,intern,
1,,Visa,2023-10-04T08:17:26.000Z,7JZUgGbBWQtdDn9aCAuK,United States,"Data Engineer, Intern",intern,https://www.linkedin.com/jobs/view/3732374973
2,https://jobs.smartrecruiters.com/Visa/743999935079378,Visa,2023-10-11T12:00:00.000Z,Q9FZzISj9x3VIJhrM5tD,United States,Data Engineer – Intern,intern,
3,https://jobs.careers.microsoft.com/us/en/job/1602324/Data-Scientist:-Internship-Opportunities,Microsoft,2023-09-07T08:41:44.000Z,1fyre0CHx8Lt2IvlalvD,United States,Data Scientist: Internship Opportunities,intern,https://www.linkedin.com/jobs/view/3689294629
4,https://careers.ibm.com/job/18930693/data-scientist-intern-2024-remote/,IBM,2023-09-08T17:26:53.000Z,5jOb9WVaIDusz1s3RzW7,United States,Data Scientist Intern 2024,intern,https://www.linkedin.com/jobs/view/3690100008
5,https://boards.greenhouse.io/epicgames/jobs/4957105004,Epic Games,2023-09-06T12:00:00.000Z,KX3jPLI9gKNQF4iusZLW,United States,Data Software Engineer Intern,intern,
6,https://boards.greenhouse.io/figma/jobs/4956894004,Figma,2023-08-21T12:00:00.000Z,qQsr5dvEt67a4v9K2u85,United States,Data Scientist Intern - 2024,intern,
7,https://careers.bcg.com/job/10020535/Data-Scientist-Internship-BCG-X,BCG,2023-09-19T23:43:00.000Z,edvGsWGtElD7H4vDNXQV,United States,Data Scientist Internship – BCG X,intern,
8,https://jobs.boeing.com/job/everett/boeing-summer-2024-internship-program-paid-information-technology-it-and-data-analytics-da-and-digi/185/53049783376,Dell,2023-08-24T12:00:00.000Z,FgvFhXJM1HE3JESyVnyZ,United States,Information Technology And Data Analytics Intern ,intern,
9,https://www.tesla.com/careers/search/job/internship-energy-data-engineer-spring-2024-209341,Tesla,2023-09-12T08:00:55.000Z,z2dSrdCQ11ZnQ1pans5L,United States,"Internship, Energy Data Engineer (Spring 2024)",intern,https://www.linkedin.com/jobs/view/3714432838
10,https://jobs.sap.com/job/Newport-Beach-SAP-iXp-Intern-ICX-Data-Engineering-CA-92660/979087301/,SAP,2023-09-07T08:43:03.000Z,Lak51Qo48pwgZOiHgNye,United States,SAP iXp Intern - ICX Data Engineering,intern,https://www.linkedin.com/jobs/view/3711775218
11,,NVIDIA,2023-09-26T08:00:27.000Z,quXEB8FKLr1VBrNGo0pY,United States,RAPIDS Data Science Engineer Intern - Summer 2024,intern,https://www.linkedin.com/jobs/view/3728129363
